player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
Daniel James,wls WAL,RW,27,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Patrick Bamford,eng ENG,CF,31,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Pascal Struijk,nl NED,CB,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Brenden Aaronson,us USA,AM,24,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",,Leeds United,5bfb9659,2025-2026
Joe Rodon,wls WAL,CB,27,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Ethan Ampadu,wls WAL,CB,24,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Maximilian Wöber,at AUT,CB,27,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Karl Darlow,wls WAL,GK,34,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Jayden Bogle,eng ENG,RB,24,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Illan Meslier,fr FRA,GK,25,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Sam Greenwood,eng ENG,CF,23,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Wilfried Gnonto,it ITA,RW,21,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Ao Tanaka,jp JPN,DM,26,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Sam Byram,eng ENG,LB,31,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Largie Ramazani,be BEL,LW,24,"£ 17,500 (€ 20,085, $23,188)","£ 910,000 (€ 1,044,445, $1,205,786)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Joe Gelhardt,eng ENG,CF,23,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",,Leeds United,5bfb9659,2025-2026
Joël Piroe,nl NED,CF,25,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Mateo Joseph,,CF,21,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Ilia Gruev,bg BUL,DM,25,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Isaac Schmidt,ch SUI,RB,25,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Alex Cairns,eng ENG,GK,32,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Darko Gyabi,,CM,21,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Charlie Crew,,DM,19,"£ 1,000 (€ 1,148, $1,325)","£ 52,000 (€ 59,683, $68,902)",Unverified estimation,Leeds United,5bfb9659,2025-2026
Lukas Nmecha,de GER,CF,26,,,,Leeds United,5bfb9659,2025-2026
Jaka Bijol,si SVN,CB,26,,,,Leeds United,5bfb9659,2025-2026
Sean Longstaff,eng ENG,CM,27,,,,Leeds United,5bfb9659,2025-2026
Anton Stach,de GER,DM,26,,,,Leeds United,5bfb9659,2025-2026
Mohamed Salah,eg EGY,MF,33,"£ 400,000 (€ 459,097, $530,016)","£ 20,800,000 (€ 23,873,034, $27,560,832)",,Liverpool,822bd0ba,2025-2026
Virgil van Dijk,nl NED,DF,34,"£ 350,000 (€ 401,710, $463,764)","£ 18,200,000 (€ 20,888,904, $24,115,728)",,Liverpool,822bd0ba,2025-2026
Hugo Ekitike,fr FRA,FW,23,"£ 200,000 (€ 229,548, $265,008)","£ 10,400,000 (€ 11,936,517, $13,780,416)",,Liverpool,822bd0ba,2025-2026
Florian Wirtz,de GER,MF,22,"£ 195,000 (€ 223,810, $258,383)","£ 10,140,000 (€ 11,638,104, $13,435,906)",,Liverpool,822bd0ba,2025-2026
Andrew Robertson,sct SCO,"DF,MF",31,"£ 160,000 (€ 183,639, $212,006)","£ 8,320,000 (€ 9,549,213, $11,024,333)",,Liverpool,822bd0ba,2025-2026
Alisson,br BRA,GK,32,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Liverpool,822bd0ba,2025-2026
Federico Chiesa,it ITA,"DF,FW",27,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Liverpool,822bd0ba,2025-2026
Ryan Gravenberch,nl NED,DM,23,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Alexis Mac Allister,ar ARG,MF,26,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Darwin Núñez,uy URU,CF,26,"£ 140,000 (€ 160,684, $185,506)","£ 7,280,000 (€ 8,355,562, $9,646,291)",,Liverpool,822bd0ba,2025-2026
Cody Gakpo,nl NED,MF,26,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Liverpool,822bd0ba,2025-2026
Dominik Szoboszlai,hu HUN,MF,24,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Liverpool,822bd0ba,2025-2026
Jeremie Frimpong,nl NED,DF,24,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Liverpool,822bd0ba,2025-2026
Giorgi Mamardashvili,ge GEO,GK,24,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Joe Gomez,eng ENG,CB,28,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Conor Bradley,nir NIR,RB,21,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",,Liverpool,822bd0ba,2025-2026
Kostas Tsimikas,gr GRE,LB,29,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Ibrahima Konaté,fr FRA,DF,26,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",,Liverpool,822bd0ba,2025-2026
Wataru Endo,jp JPN,"DF,MF",32,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Harvey Elliott,eng ENG,"FW,MF",22,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Stefan Bajcetic,,DM,20,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Calvin Ramsay,sct SCO,RB,21,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",,Liverpool,822bd0ba,2025-2026
Curtis Jones,eng ENG,MF,24,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Ben Doak,,RW,19,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Rhys Williams,eng ENG,CB,24,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Tyler Morton,,DM,22,"£ 8,000 (€ 9,182, $10,600)","£ 416,000 (€ 477,461, $551,217)",Unverified estimation,Liverpool,822bd0ba,2025-2026
Freddie Woodman,eng ENG,GK,28,,,,Liverpool,822bd0ba,2025-2026
Milos Kerkez,hu HUN,DF,21,,,,Liverpool,822bd0ba,2025-2026
Ármin Pécsi,,GK,20,,,,Liverpool,822bd0ba,2025-2026
Erling Haaland,no NOR,CF,24,"£ 525,000 (€ 602,565, $695,646)","£ 27,300,000 (€ 31,333,357, $36,173,592)",,Manchester City,b8fd03ef,2025-2026
Bernardo Silva,pt POR,AM,30,"£ 300,000 (€ 344,323, $397,512)","£ 15,600,000 (€ 17,904,775, $20,670,624)",,Manchester City,b8fd03ef,2025-2026
Jack Grealish,eng ENG,LW,29,"£ 300,000 (€ 344,323, $397,512)","£ 15,600,000 (€ 17,904,775, $20,670,624)",,Manchester City,b8fd03ef,2025-2026
Omar Marmoush,eg EGY,CF,26,"£ 295,000 (€ 338,584, $390,887)","£ 15,340,000 (€ 17,606,362, $20,326,114)",,Manchester City,b8fd03ef,2025-2026
John Stones,eng ENG,CB,31,"£ 250,000 (€ 286,936, $331,260)","£ 13,000,000 (€ 14,920,646, $17,225,520)",,Manchester City,b8fd03ef,2025-2026
İlkay Gündoğan,de GER,CM,34,"£ 230,000 (€ 263,981, $304,759)","£ 11,960,000 (€ 13,726,994, $15,847,478)",,Manchester City,b8fd03ef,2025-2026
Tijjani Reijnders,nl NED,CM,26,"£ 230,000 (€ 263,981, $304,759)","£ 11,960,000 (€ 13,726,994, $15,847,478)",,Manchester City,b8fd03ef,2025-2026
Phil Foden,eng ENG,RW,25,"£ 225,000 (€ 258,242, $298,134)","£ 11,700,000 (€ 13,428,581, $15,502,968)",,Manchester City,b8fd03ef,2025-2026
Rodri,es ESP,DM,29,"£ 220,000 (€ 252,503, $291,509)","£ 11,440,000 (€ 13,130,168, $15,158,458)",,Manchester City,b8fd03ef,2025-2026
Joško Gvardiol,hr CRO,LB,23,"£ 200,000 (€ 229,548, $265,008)","£ 10,400,000 (€ 11,936,517, $13,780,416)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Rúben Dias,pt POR,CB,28,"£ 180,000 (€ 206,594, $238,507)","£ 9,360,000 (€ 10,742,865, $12,402,374)",,Manchester City,b8fd03ef,2025-2026
Manuel Akanji,ch SUI,CB,29,"£ 180,000 (€ 206,594, $238,507)","£ 9,360,000 (€ 10,742,865, $12,402,374)",,Manchester City,b8fd03ef,2025-2026
Kyle Walker,eng ENG,RB,35,"£ 175,000 (€ 200,855, $231,882)","£ 9,100,000 (€ 10,444,452, $12,057,864)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Nathan Aké,nl NED,CB,30,"£ 160,000 (€ 183,639, $212,006)","£ 8,320,000 (€ 9,549,213, $11,024,333)",,Manchester City,b8fd03ef,2025-2026
Kalvin Phillips,eng ENG,DM,29,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Manchester City,b8fd03ef,2025-2026
Mateo Kovačić,hr CRO,CM,31,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Matheus Nunes,pt POR,CM,26,"£ 130,000 (€ 149,206, $172,255)","£ 6,760,000 (€ 7,758,736, $8,957,270)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Ederson,br BRA,GK,31,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Manchester City,b8fd03ef,2025-2026
Stefan Ortega,de GER,GK,32,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Nicolás González,es ESP,CM,23,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Oscar Bobb,,RW,21,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",,Manchester City,b8fd03ef,2025-2026
Jeremy Doku,be BEL,LW,23,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Sávio,br BRA,RW,21,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Vitor Reis,,CB,19,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Rico Lewis,,RB,20,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",,Manchester City,b8fd03ef,2025-2026
Issa Kaboré,bf BFA,RB,24,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Abdukodir Khusanov,,CB,21,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
James McAtee,,AM,22,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Claudio Echeverri,,AM,19,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Josh Wilson-Esbrand,,LB,22,"£ 7,000 (€ 8,034, $9,275)","£ 364,000 (€ 417,778, $482,315)",Unverified estimation,Manchester City,b8fd03ef,2025-2026
Nico O'Reilly,,AM,20,,,,Manchester City,b8fd03ef,2025-2026
Marcus Bettinelli,eng ENG,GK,33,,,,Manchester City,b8fd03ef,2025-2026
Rayan Aït-Nouri,dz ALG,LB,24,,,,Manchester City,b8fd03ef,2025-2026
Rayan Cherki,fr FRA,RW,21,,,,Manchester City,b8fd03ef,2025-2026
James Trafford,eng ENG,GK,22,,,,Manchester City,b8fd03ef,2025-2026
Casemiro,br BRA,DM,33,"£ 350,000 (€ 401,710, $463,764)","£ 18,200,000 (€ 20,888,904, $24,115,728)",,Manchester Utd,19538871,2025-2026
Bruno Fernandes,pt POR,AM,30,"£ 300,000 (€ 344,323, $397,512)","£ 15,600,000 (€ 17,904,775, $20,670,624)",,Manchester Utd,19538871,2025-2026
Jadon Sancho,eng ENG,LW,25,"£ 250,000 (€ 286,936, $331,260)","£ 13,000,000 (€ 14,920,646, $17,225,520)",,Manchester Utd,19538871,2025-2026
Mason Mount,eng ENG,AM,26,"£ 250,000 (€ 286,936, $331,260)","£ 13,000,000 (€ 14,920,646, $17,225,520)",,Manchester Utd,19538871,2025-2026
Matthijs de Ligt,nl NED,CB,25,"£ 195,000 (€ 223,810, $258,383)","£ 10,140,000 (€ 11,638,104, $13,435,906)",,Manchester Utd,19538871,2025-2026
Harry Maguire,eng ENG,CB,32,"£ 190,000 (€ 218,071, $251,758)","£ 9,880,000 (€ 11,339,691, $13,091,395)",,Manchester Utd,19538871,2025-2026
Matheus Cunha,br BRA,SS,26,"£ 180,000 (€ 206,594, $238,507)","£ 9,360,000 (€ 10,742,865, $12,402,374)",,Manchester Utd,19538871,2025-2026
Bryan Mbeumo,cm CMR,RW,25,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Manchester Utd,19538871,2025-2026
Luke Shaw,eng ENG,LB,29,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",,Manchester Utd,19538871,2025-2026
Noussair Mazraoui,ma MAR,RB,27,"£ 135,000 (€ 154,945, $178,880)","£ 7,020,000 (€ 8,057,149, $9,301,781)",Unverified estimation,Manchester Utd,19538871,2025-2026
Lisandro Martínez,ar ARG,CB,27,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Manchester Utd,19538871,2025-2026
Amad Diallo,ci CIV,RW,22,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Manchester Utd,19538871,2025-2026
André Onana,cm CMR,GK,29,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Manchester Utd,19538871,2025-2026
Manuel Ugarte,,DM,24,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Manchester Utd,19538871,2025-2026
Leny Yoro,,CB,19,"£ 115,000 (€ 131,990, $152,380)","£ 5,980,000 (€ 6,863,497, $7,923,739)",,Manchester Utd,19538871,2025-2026
Antony,br BRA,RW,25,"£ 105,000 (€ 120,513, $139,129)","£ 5,460,000 (€ 6,266,671, $7,234,718)",,Manchester Utd,19538871,2025-2026
Joshua Zirkzee,nl NED,CF,24,"£ 105,000 (€ 120,513, $139,129)","£ 5,460,000 (€ 6,266,671, $7,234,718)",,Manchester Utd,19538871,2025-2026
Rasmus Højlund,dk DEN,CF,22,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",,Manchester Utd,19538871,2025-2026
Diogo Dalot,pt POR,RB,26,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",Unverified estimation,Manchester Utd,19538871,2025-2026
Tyrell Malacia,nl NED,LB,25,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Manchester Utd,19538871,2025-2026
Alejandro Garnacho,,AM,21,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",,Manchester Utd,19538871,2025-2026
Tom Heaton,eng ENG,GK,39,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",,Manchester Utd,19538871,2025-2026
Patrick Dorgu,,LM,20,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",,Manchester Utd,19538871,2025-2026
Altay Bayındır,tr TUR,GK,27,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Manchester Utd,19538871,2025-2026
Kobbie Mainoo,,CM,20,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",,Manchester Utd,19538871,2025-2026
Chido Obi,,CF,17,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",,Manchester Utd,19538871,2025-2026
Ethan Wheatley,,CF,19,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",,Manchester Utd,19538871,2025-2026
Harry Amass,,LB,18,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",,Manchester Utd,19538871,2025-2026
Tyler Fredricson,,CB,20,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",,Manchester Utd,19538871,2025-2026
Toby Collyer,,DM,21,"£ 4,000 (€ 4,591, $5,300)","£ 208,000 (€ 238,730, $275,608)",,Manchester Utd,19538871,2025-2026
Ayden Heaven,,CB,18,"£ 4,000 (€ 4,591, $5,300)","£ 208,000 (€ 238,730, $275,608)",Unverified estimation,Manchester Utd,19538871,2025-2026
Daniel Gore,,CM,20,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Manchester Utd,19538871,2025-2026
Diego León,,LB,18,,,,Manchester Utd,19538871,2025-2026
Bruno Guimarães,br BRA,DM,27,"£ 160,000 (€ 183,639, $212,006)","£ 8,320,000 (€ 9,549,213, $11,024,333)",,Newcastle Utd,b2b47a98,2025-2026
Anthony Gordon,eng ENG,LW,24,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Joelinton,br BRA,CM,28,"£ 150,000 (€ 172,161, $198,756)","£ 7,800,000 (€ 8,952,388, $10,335,312)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Alexander Isak,se SWE,CF,25,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Newcastle Utd,b2b47a98,2025-2026
Sandro Tonali,it ITA,CM,25,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",,Newcastle Utd,b2b47a98,2025-2026
Kieran Trippier,eng ENG,RB,34,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Matt Targett,eng ENG,LB,29,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Newcastle Utd,b2b47a98,2025-2026
Sven Botman,nl NED,CB,25,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",,Newcastle Utd,b2b47a98,2025-2026
Harvey Barnes,eng ENG,LW,27,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Joe Willock,eng ENG,CM,25,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Dan Burn,eng ENG,CB,33,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Nick Pope,eng ENG,GK,33,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",,Newcastle Utd,b2b47a98,2025-2026
Fabian Schär,ch SUI,CB,33,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Emil Krafth,se SWE,RB,30,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",,Newcastle Utd,b2b47a98,2025-2026
Odysseas Vlachodimos,gr GRE,GK,31,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Valentino Livramento,eng ENG,RB,22,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Jamaal Lascelles,eng ENG,CB,31,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",,Newcastle Utd,b2b47a98,2025-2026
Martin Dúbravka,sk SVK,GK,36,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Jacob Murphy,eng ENG,RW,30,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Isaac Hayden,jm JAM,DM,30,"£ 22,000 (€ 25,250, $29,151)","£ 1,144,000 (€ 1,313,017, $1,515,846)",,Newcastle Utd,b2b47a98,2025-2026
William Osula,,CF,21,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Mark Gillespie,eng ENG,GK,33,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",,Newcastle Utd,b2b47a98,2025-2026
Harrison Ashby,,RB,23,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Lewis Hall,,LB,20,"£ 7,000 (€ 8,034, $9,275)","£ 364,000 (€ 417,778, $482,315)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Lewis Miley,,CM,19,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Joe White,eng ENG,AM,22,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Alex Murphy,,LB,21,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Newcastle Utd,b2b47a98,2025-2026
Antoñito Cordero,,LW,18,,,,Newcastle Utd,b2b47a98,2025-2026
Anthony Elanga,se SWE,RW,23,,,,Newcastle Utd,b2b47a98,2025-2026
Nikola Milenković,rs SRB,CB,27,"£ 105,000 (€ 120,513, $139,129)","£ 5,460,000 (€ 6,266,671, $7,234,718)",,Nott'ham Forest,e4a775cb,2025-2026
Morgan Gibbs-White,eng ENG,AM,25,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Chris Wood,nz NZL,CF,33,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Dan Ndoye,ch SUI,RW,24,"£ 85,000 (€ 97,558, $112,628)","£ 4,420,000 (€ 5,073,020, $5,856,677)",,Nott'ham Forest,e4a775cb,2025-2026
Callum Hudson-Odoi,eng ENG,LW,24,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Ibrahim Sangaré,ci CIV,DM,27,"£ 75,000 (€ 86,081, $99,378)","£ 3,900,000 (€ 4,476,194, $5,167,656)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Neco Williams,wls WAL,RB,24,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
Taiwo Awoniyi,ng NGA,CF,27,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Nott'ham Forest,e4a775cb,2025-2026
