player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
David Datro Fofana,,CF,22,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Andrey Santos,,CM,21,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Renato Veiga,,CB,21,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Aarón Anselmino,,CB,20,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Caleb Wiley,us USA,LB,20,"£ 12,000 (€ 13,773, $15,900)","£ 624,000 (€ 716,191, $826,825)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Alfie Gilchrist,,RB,21,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Mike Penders,,GK,19,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Tyrique George,,LW,19,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Josh Acheampong,,RB,19,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Chelsea,cff3d9bb,2025-2026
Mathis Amougou,,CM,19,,,,Chelsea,cff3d9bb,2025-2026
Dario Essugo,pt POR,DM,20,,,,Chelsea,cff3d9bb,2025-2026
Mamadou Sarr,,CB,19,,,,Chelsea,cff3d9bb,2025-2026
Kendry Páez,,AM,18,,,,Chelsea,cff3d9bb,2025-2026
Estêvão,,RW,18,,,,Chelsea,cff3d9bb,2025-2026
Daichi Kamada,jp JPN,MF,28,"£ 105,000 (€ 120,513, $139,129)","£ 5,460,000 (€ 6,266,671, $7,234,718)",,Crystal Palace,47c64c55,2025-2026
Eberechi Eze,eng ENG,MF,27,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Crystal Palace,47c64c55,2025-2026
Dean Henderson,eng ENG,GK,28,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Odsonne Édouard,fr FRA,FW,27,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Eddie Nketiah,eng ENG,CF,26,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Jefferson Lerma,co COL,MF,30,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Cheick Doucouré,ml MLI,DM,25,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Ismaila Sarr,sn SEN,MF,27,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Will Hughes,eng ENG,MF,30,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Daniel Muñoz,co COL,MF,29,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Chris Richards,us USA,DF,25,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Jean-Philippe Mateta,fr FRA,FW,28,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",,Crystal Palace,47c64c55,2025-2026
Nathaniel Clyne,eng ENG,DF,34,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Marc Guéhi,eng ENG,DF,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Maxence Lacroix,fr FRA,DF,25,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Rob Holding,eng ENG,CB,29,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Tyrick Mitchell,eng ENG,MF,25,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Matheus França,,AM,21,"£ 40,000 (€ 45,910, $53,002)","£ 2,080,000 (€ 2,387,303, $2,756,083)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Adam Wharton,,DM,21,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Chadi Riad,,CB,22,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Naouirou Ahamada,fr FRA,CM,23,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Romain Esse,,RW,20,"£ 15,000 (€ 17,216, $19,876)","£ 780,000 (€ 895,239, $1,033,531)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Joe Whitworth,,GK,21,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Malcolm Ebiowei,eng ENG,RW,21,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Remi Matthews,eng ENG,GK,31,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Jesurun Rak-Sakyi,,RW,22,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Caleb Kporha,,RB,18,"£ 5,000 (€ 5,739, $6,625)","£ 260,000 (€ 298,413, $344,510)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Kaden Rodney,,DM,20,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
Justin Devenny,,CM,21,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
David Ozoh,,DM,20,"£ 2,000 (€ 2,295, $2,650)","£ 104,000 (€ 119,365, $137,804)",Unverified estimation,Crystal Palace,47c64c55,2025-2026
